itemLabel,item
Q80967,Outer hebrides
Q80967,Western isles
Q126514,Dumfries and galloway
Q201149,Fife
Q202174,Argyll and bute
Q202177,Angus
Q208271,Inverclyde
Q217838,Stirling
Q216802,Falkirk
Q211106,Moray
Q189912,Aberdeenshire
Q207257,East lothian
Q208121,West dunbartonshire
Q206934,Midlothian
Q207268,Clackmannanshire
Q207268,Clackmannan
Q208279,Highland
Q100166,Orkney islands
Q2379199,"Edinburgh, city of"
Q211113,Scottish borders
Q211113,"Scottish borders, the"
Q211889,East dunbartonshire
Q204940,West lothian
Q207111,North lanarkshire
Q211091,Renfrewshire
Q209131,South ayrshire
Q209142,South lanarkshire
Q207679,Perth and kinross
Q206926,North ayrshire
Q211925,East renfrewshire
Q209135,East ayrshire
Q2357511,"Dundee, city of"
Q62274582,"Aberdeen, city of"
Q55934339,"Glasgow, city of"
Q47134,Shetland islands
Q23079,Northumberland
Q23066,Cumbria
Q145,Maritime
